Content,Score,Feature,Heuristic
"Não tem 2 minutos que baixei o aplicativo, vou fazer o reconhecimento facial, já vi que é muito bom. Pra não dizer outra coisa! A parte boa do governo é que o valor determinado pra resgate tem data, já sabemos que se alguém resgatar serão bem poucos.",1,F1 - User access,C5 - Error prevention
"Resolve um problema, aparece outro. No app pede pra atualizar na Play Store, e não tem atualização disponível. Péssimo.",1,F0 - None feature,C5 - Error prevention
"O erro é exatamente o que já descrevi, e que vocês podem ver no histórico de edições. Nunca consigo passar da tela inicial. Nem sei o que tem dentro desse app, já que ele simplesmente não abre. Diz que ""ocorreu um problema, tente mais tarde"", e só. Já olhei em tudo que é lugar no site, simplesmente não achei nada que me ajude em lugar nenhum. O app é o retrato perfeito deste governo onde nada funciona.",1,F1 - User access,C5 - Error prevention
"Para acessar são duas etapas, senha e código enviado por SMS, o problema é que o SMS nunca chega, mesmo que esteja com o sinal completo da operadora, recebo mensagem de outras coisas, menos do código para acesso. Isso acontece pelo app ou site que no fim acaba dando na mesma, já que quando tenta acessar pelo app, é encaminhado para o site, então o app não adianta de nada.",1,F1 - User access,C1 - Visibility of system status
"Consegui fazer reconhecimento com uma luminária na cara e cada vez que entra no app precisa fazer reconhecimento, se não fizer, não entra. É uma luta fazer isso. Negocinho mal resolvido e pra que app se direciona pro navegador??? E mais: na consulta de valores a receber, só aparece uma tela em branco. Outra: pra ter acesso a funcionalidades, só pelo computador. Pra que app no celular??? Enfim...",1,F1 - User access,C4 - Consistency and standards
"PÉSSIMO! Demora demais para acessar. Na maioria das vezes além da demora dá erro. Quando acessa não se consegue fazer nada, o aplicativo trava ou fecha sozinho. Reconhecimento facial NÃO ESTÁ FUNCIONANDO. O aplicativo exige várias etapas pra subir de nível de segurança e poder utilizar o que ele oferece, porém não se consegue concluir nenhuma etapa. E o pior é que ninguém dá ao menos uma resposta. Desrespeito com o cidadão!",1,F1 - User access,C5 - Error prevention
"Aplicativo muito ruim, não se consegue fazer nada, toda hora trava, verificação de foto não vai pra frente não consegue nem fazer a foto. Poderia ser mais prático o Aplicativo. Estou tentando a dias pra fazer o upgrade, para prata e não consigo, já tenho título digital e habilitação digital e não consigo de forma nenhuma. Pelo amor, acho que precisa melhorar muito. Obrigada.",1,F1 - User access,C7 - Flexibility and efficiency of use
"Péssimo, infelizmente tem que dar uma estrela para avaliar, porque não daria nenhuma o app fica mais de 2 minutos na tela ""Aguarde"", apenas para carregar a tela com o botão ""Entrar com gov.br"", que não faz nada e não leva a tela de login. Testei várias vezes, em horários diferentes, em dois dispositivos Android e um IOS. Em todos o comportamento foi é o mesmo. E o processo de resgate do BC, depende desse lixo, que não funciona.",1,F1 - User access,C4 - Consistency and standards
"Um dos piores aplicativos que já baixei, confuso, mesmo baixando o aplicativo, você é direcionado para uma guia do Chrome. Solicita_se o reconhecimento facial, porém, após tirar a foto o mesmo fica processando por vários minutos. No ambiente interno não é possível acessar os serviços disponíveis. Os mesmos não são ofertados nas abas de navegação. Complexo.",1,F1 - User access,C1 - Visibility of system status
"Realmente todos os comentarios negativos em relação ao aplicativo estão corretos. É mais uma falta de respeito com nós brasileiros que mais uma vez precisamos de um serviço publico!!!! Não consigo realizar biometria de forma alguma e, fico entrando e saindo pra ver se consigo tirar a foto mas o aplicativo não funciona correto. Acredito mesmo que é com a intenção da pessoa perder o prazo e nao realizar o saque, Brasillllllll!!!! Gostaria de poder da - 0 a estrela mais nao tem essa opção!",1,F1 - User access,C1 - Visibility of system status
"No meu celular um pouco mais antigo não consigo nem abrir o programa, depois de instalado, clico em entrar e nada funciona, no entanto, no celular de minha esposa, mais moderno, consigo abrir e usar o programa sem problema, fiz reconhecimento facial e aumentei meu nível para ouro. Assim é possível concluir que em celular mais antigo existe algum empecilho para funcionamento.",1,F1 - User access,C7 - Flexibility and efficiency of use
"Aplicativo inútil, não consigo passar da tela inicial. Clico em entrar com gov.br botão que não faz nada nem uma informação de falha é capaz de retornar. Usando o leitor de QR code aí sim a coisa fica feia trava o celular a ponto de ter que tirar a bateria para recuperar o controle do aparelho! Estava tentando mudar de nível de bronze para prata só para imprimir o CRLV do veículo. É desesperador não conseguir fugir ao contato com funcionalismo usando internet e ser arrastado ao balcão ...!",1,F1 - User access,C1 - Visibility of system status
"O app é completamente inútil: ñ funciona direito. Ñ consigo sequer aumentar o nível da conta: qnd consigo passar da parte de escolher o nível da conta, o app fecha na hora do reconhecimento facial. Ñ consigo tbm incluir outros dados no cadastro (nem tem a opção de editar). Gostaria que fizessem um app que preste, se o objetivo for facilitar o acesso do cidadão aos serviços digitais. Grata.",1,F1 - User access,C1 - Visibility of system status
"Péssimo, horrível, ineficiente!! O App não funciona!! Simplesmente não entra, não acessa, não sai da tela inicial!! Um lixo de funcionalidade!! Como mudar o nível para prata ou ouro se não consigo nem acessar, entrar no Aplicativo?? À mais de dias e nada. Resgatar ou pelo menos consultar o saldo que tem a receber para ver se compensa tanto trabalho, nem isso é possível!! Simplesmente enganação, perda de tempo, golpe isso!!!",1,F1 - User access,C1 - Visibility of system status
"Experiência ruim. O app exige subir o nível para que você possa fazer algumas consultas, mas quando faço a leitura de imagem para reconhecimento facial, ele trava e fecha, sem nenhuma mensagem de feedback sobre o erro. Também não oferece tópico de suporte para pedido de ajuda. Infelizmente, com isso, não é possível usar nenhum recurso útil.",1,F1 - User access,C5 - Error prevention
"Não recomendo pra ninguém. Mas infelizmente outros aplicativos necessitam desse para login. O reconhecimento facial simplesmente não funciona, já tentei de várias formas. Para pode aumentar meu nível. E simplesmente não reconhece meu rosto. Ou quando aparece ""aguarde"" só volta pra tela inicial e não acontece nada. Pior aplicativo! Horrível!",1,F1 - User access,C1 - Visibility of system status
"App horrível. Nunca vi um aplicativo precisar acessar um navegador para poder fazer login. Funcionalidades básicas, como um simples clique em um botão, travam o tempo todo. O reconhecimento facial não funciona, e quando funcionou em versões anteriores do app não conseguia fazer a validação. App deveria funcionar com SOs mais antigos, tendo em vista que a maioria da população é de baixa renda e não tem acesso a celulares mais modernos. APP VERGONHOSO!!!",1,F1 - User access,C4 - Consistency and standards
"Se houvesse um adjetivo ainda pior do que péssimo, o escolheria, mas não há. Restou recorrer a um advérbio! Esse aplicativo é extremamente péssimo! Se ele apenas funcionasse já seria algo positivo! Servidor indisponível todo o tempo, lentidão para processar as requisições e no final a mensagem: serviço indisponível. Tente mais tarde.",1,F1 - User access,C0 - None heuristic
"Sistema confuso, cada hora o acesso é de um jeito e te manda para um lugar diferente (geralmente inútil), não entendo o motivo de termos sido obrigados a migrar para este sistema, o Sigepe era muito mais simples, útil e intuitivo, enfim, infelizmente como muita coisa na vida não temos escolha, e essa é uma delas, somos obrigados a engolir o que algumas poucas pessoas determinam como sendo o ""melhor"" para o povo, lamentável.",1,F1 - User access,C1 - Visibility of system status
"Estou tentando fazer o reconhecimento facial, mas nao consigo nem passar da tela onde aparece o ""losango"" para fixar meu rosto. Já tenho conta a bastante tempo e sempre usei normalmente. Entretanto, para receber o valor das contas (Bacen ) preciso passar para outro nível e não consigo. Quando acesso o reconhecimento facial na mesma hora o aplicativo retorna com a mensagem que o aplicativo está com erro e retorna para o Google play stor. Já desinstalei e instalei novamente mas não funciona.",1,F1 - User access,C5 - Error prevention
"Não é possível aumentar de nível (para prata ou ouro). O aplicativo não permite essa ação, trava, volta a telas anteriores, um ""bug"" sem fim. Também não autentica com os dados bancários, informa que o aplicativo do banco está desatualizado (não procede). Não permite tirar a foto para comparar com o sistema do TRE. Enfim, não funciona mesmo. É público, é péssimo.",1,F1 - User access,C1 - Visibility of system status
"Até o momento a experiência está sendo terrível. Extremamente instável, não consigo sequer logar no aplicativo. Alterei minha senha com sucesso, mas ao fazer o login caio numa tela de consentimento de permissões, e ao confirmar tenho dois resultados: ora acesso o aplicativo, ora recebo um erro de falta de permissão para biometria, sendo que AINDA não habilitei o recurso. Quando consigo acessar, ao tentar aumentar meu nível e fazer o reconhecimento facial a aplicação não responde.",1,F1 - User access,C5 - Error prevention
